City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,274.8,70,31,15.05,TF,1695942714
1,superior,46.7208,-92.1041,292.31,88,100,4.12,US,1695942716
2,bethel,41.3712,-73.414,290.73,82,100,0.0,US,1695942717
3,port mathurin,-19.6833,63.4167,295.6,81,90,8.44,MU,1695942718
4,avarua,-21.2078,-159.775,300.18,74,75,8.75,CK,1695942719
5,nova sintra,14.8667,-24.7167,296.99,83,87,5.63,CV,1695942720
6,saipan,15.1355,145.701,300.54,89,75,6.69,MP,1695942722
7,bamboo flat,11.7,92.7167,299.54,84,100,9.86,IN,1695942723
8,glace bay,46.1969,-59.957,287.47,89,40,4.12,CA,1695942724
9,blackmans bay,-43.0167,147.3167,286.22,86,98,4.52,AU,1695942725
10,puerto ayora,-0.7393,-90.3518,297.34,87,78,4.47,EC,1695942727
11,awjilah,29.1081,21.2869,297.21,55,1,5.28,LY,1695942729
12,grytviken,-54.2811,-36.5092,274.01,98,100,3.49,GS,1695942730
13,fale old settlement,-9.3852,-171.2468,302.05,71,21,5.67,TK,1695942731
14,punta arenas,-53.15,-70.9167,280.21,65,0,10.29,CL,1695942732
15,ushuaia,-54.8,-68.3,275.32,91,82,1.99,AR,1695942683
16,yuzhne,46.6221,31.1013,292.97,46,91,7.58,UA,1695942735
17,east london,-33.0153,27.9116,289.49,85,20,3.0,ZA,1695942736
18,wynyard,-41.0,145.7167,288.36,68,54,4.98,AU,1695942737
19,adamstown,-25.066,-130.1015,293.98,73,100,8.28,PN,1695942738
20,edinburgh of the seven seas,-37.0676,-12.3116,284.08,59,77,8.03,SH,1695942739
21,albany,42.6001,-73.9662,290.56,78,52,1.52,US,1695942658
22,pointe-noire,-4.7761,11.8635,297.42,90,88,4.21,CG,1695942742
23,mount pearl,47.5166,-52.7813,281.01,87,0,4.63,CA,1695942743
24,mount isa,-20.7333,139.5,300.02,24,2,4.12,AU,1695942744
25,chonchi,-42.6128,-73.8092,281.71,83,75,1.3,CL,1695942745
26,severo-yeniseyskiy,60.3725,93.0408,277.89,93,100,2.23,RU,1695942746
27,mikhaylov,54.2292,39.0186,286.19,54,17,3.37,RU,1695942748
28,nuku'alofa,-21.1333,-175.2,297.34,78,75,5.14,TO,1695942749
29,port elizabeth,-33.918,25.5701,287.65,95,0,1.54,ZA,1695942750
30,bulayevo,54.9056,70.4439,280.34,90,56,3.21,KZ,1695942751
31,kalmunai,7.4167,81.8167,298.51,81,100,3.08,LK,1695942752
32,kindu,-2.95,25.95,293.85,99,97,0.56,CD,1695942754
33,puerto baquerizo moreno,-0.9,-89.6,296.52,79,94,5.05,EC,1695942755
34,kone,-21.0595,164.8658,297.17,49,46,3.14,NC,1695942756
35,invercargill,-46.4,168.35,282.6,89,94,8.49,NZ,1695942624
36,bilibino,68.0546,166.4372,272.33,97,100,0.74,RU,1695942758
37,cidade velha,14.9167,-23.6167,300.41,83,40,4.63,CV,1695942759
38,olonkinbyen,70.9221,-8.7187,276.55,90,84,7.55,SJ,1695942761
39,vernon,50.2581,-119.2691,288.57,56,85,3.13,CA,1695942762
40,almazan,41.4865,-2.5309,288.99,44,5,1.45,ES,1695942763
41,hermanus,-34.4187,19.2345,289.98,70,93,4.13,ZA,1695942764
42,sao vicente,-23.9631,-46.3919,293.25,77,57,4.99,BR,1695942534
43,banda aceh,5.5577,95.3222,299.43,83,100,6.44,ID,1695942766
44,roma,43.2128,-75.4557,290.86,55,100,3.09,US,1695942767
45,flin flon,54.7682,-101.865,286.06,100,100,2.57,CA,1695942769
46,walvis bay,-22.9575,14.5053,285.98,94,26,1.83,NA,1695942770
47,fort bragg,35.139,-79.006,295.95,71,40,2.57,US,1695942771
48,hithadhoo,-0.6,73.0833,300.78,77,51,5.12,MV,1695942772
49,wailua homesteads,22.0669,-159.378,302.39,66,20,5.14,US,1695942773
50,luderitz,-26.6481,15.1594,286.69,79,29,2.93,NA,1695942774
51,prado,-17.3411,-39.2208,297.2,90,9,2.18,BR,1695942775
52,shchuchinsk,52.9333,70.2,280.17,81,61,2.07,KZ,1695942777
53,xudat,41.631,48.681,290.38,60,0,1.84,AZ,1695942778
54,anadyr,64.75,177.4833,278.43,93,100,4.0,RU,1695942779
55,college,64.8569,-147.8028,280.62,53,20,1.54,US,1695942620
56,isafjordur,66.0755,-23.124,276.67,95,100,3.75,IS,1695942781
57,vorgashor,67.5833,63.95,272.31,78,22,5.15,RU,1695942782
58,yellowknife,62.456,-114.3525,280.44,81,100,2.24,CA,1695942784
59,weno,7.4515,151.8468,304.12,79,40,4.63,FM,1695942785
60,gloucester point,37.254,-76.4969,293.7,90,100,4.63,US,1695942786
61,sinop,41.7711,34.8709,290.38,73,100,1.95,TR,1695942787
62,talnakh,69.4865,88.3972,272.71,96,100,4.14,RU,1695942788
63,dudinka,69.4058,86.1778,272.94,98,100,6.05,RU,1695942790
64,iqaluit,63.7506,-68.5145,275.0,74,75,3.09,CA,1695942791
65,leh,34.1667,77.5833,279.96,37,0,1.99,IN,1695942792
66,stanley,54.868,-1.6985,286.32,88,40,2.57,GB,1695942793
67,rongelap,11.1635,166.8941,301.89,79,100,5.97,MH,1695942794
68,puerto santa,-8.9906,-78.6456,292.47,87,58,4.91,PE,1695942796
69,hajjah,15.6943,43.6058,294.15,51,100,1.37,YE,1695942797
70,arraial do cabo,-22.9661,-42.0278,293.45,78,37,6.97,BR,1695942553
71,sarkikaraagac,38.0794,31.3664,287.77,73,1,0.83,TR,1695942799
72,waitangi,-43.9535,-176.5597,281.94,97,100,3.13,NZ,1695942520
73,abepura,-2.6333,140.5833,298.6,83,20,1.03,ID,1695942802
74,richards bay,-28.783,32.0377,290.26,93,10,2.2,ZA,1695942803
75,tiksi,71.6872,128.8694,270.54,85,100,9.88,RU,1695942804
76,grand falls-windsor,48.9332,-55.6649,281.21,79,1,0.4,CA,1695942805
77,chibougamau,49.9168,-74.3659,285.94,67,0,0.0,CA,1695942806
78,pesqueira,-8.3578,-36.6964,295.49,68,87,3.91,BR,1695942721
79,saint croix,17.7397,-64.7388,302.4,85,0,2.57,VI,1695942809
80,bredasdorp,-34.5322,20.0403,287.17,74,83,2.34,ZA,1695942810
81,siyabuswa,-25.1132,29.0445,292.08,67,71,3.78,ZA,1695942759
82,papatowai,-46.5619,169.4708,281.93,89,92,10.48,NZ,1695942812
83,pariaman,-0.619,100.12,297.18,88,83,2.52,ID,1695942813
84,st. john's,47.5649,-52.7093,281.47,86,0,4.63,CA,1695942815
85,greymouth,-42.4667,171.2,284.3,94,100,8.55,NZ,1695942816
86,vodnyy,63.5046,53.4095,283.18,96,100,2.49,RU,1695942817
87,qusmuryn,52.4503,64.6311,284.35,70,48,1.78,KZ,1695942818
88,naze,28.3667,129.4833,300.66,77,6,4.87,JP,1695942819
89,santa rosa,14.3122,121.1114,300.97,92,54,0.57,PH,1695942821
90,novyy urengoy,66.0833,76.6333,272.95,80,100,7.08,RU,1695942822
91,alta sierra,35.7291,-118.5495,293.21,40,0,3.63,US,1695942823
92,port alfred,-33.5906,26.891,287.69,94,11,0.45,ZA,1695942824
93,wenchang,30.904,118.4887,296.26,91,51,0.55,CN,1695942825
94,fortuna,40.5982,-124.1573,292.0,72,0,5.66,US,1695942827
95,west island,-12.1568,96.8225,298.14,78,75,8.23,CC,1695942828
96,thompson,55.7435,-97.8558,287.24,94,75,1.03,CA,1695942623
97,afaahiti,-17.75,-149.2833,300.08,86,22,8.13,PF,1695942830
98,pisco,-13.7,-76.2167,292.18,77,0,9.26,PE,1695942831
99,nemuro,43.3236,145.575,288.71,83,93,2.04,JP,1695942833
100,saudarkrokur,65.7461,-19.6394,278.77,82,100,2.62,IS,1695942834
101,carnarvon,-24.8667,113.6333,293.09,82,22,6.69,AU,1695942835
102,aykhal,66.0,111.5,269.4,52,71,2.57,RU,1695942836
103,oranjemund,-28.55,16.4333,288.65,73,23,1.1,NA,1695942837
104,quang ngai,15.1167,108.8,297.87,91,100,1.83,VN,1695942840
105,ancud,-41.8697,-73.8203,281.5,71,90,1.29,CL,1695942841
106,camocim,-2.9022,-40.8411,299.27,74,43,5.87,BR,1695942842
107,gizo,-8.103,156.8419,300.19,83,100,9.22,SB,1695942843
108,puerto natales,-51.7236,-72.4875,277.71,84,63,2.54,CL,1695942845
109,whitehorse,60.7161,-135.0538,282.65,86,75,2.06,CA,1695942846
110,sovetskiy,61.3614,63.5842,284.2,80,99,3.13,RU,1695942847
111,al bayda',32.7627,21.7551,291.02,88,19,2.34,LY,1695942848
112,ulsteinvik,62.3432,5.8487,289.76,86,100,6.71,NO,1695942849
113,springbok,-29.6643,17.8865,288.69,26,9,0.63,ZA,1695942851
